Id;Lat;Lon;Country;State;LGA;Ward;Population;NESP_ID;Branch_id;Customers;Renewable energy share;Generator capacity (kw);PV size(kW);Battery capacity (kWh);Demand;Electr_type_phase_1;Electr_type_phase_2;Electr_type_phase_3;Distance_m
38180;9.68911866387287;8.3857619010058;Nigeria;Plateau;Shendam;SARKIN KUDU II;2151.155396;3513;292;406;72.3;94;110;256;159;none;none;grid;42840
38182;9.68731406446935;8.41680221986802;Nigeria;Plateau;Shendam;MOEKAT;1858.32796;3515;292;351;49.1;87;54;104;122;none;none;grid;39420
38183;9.7329946172641;8.42125737269622;Nigeria;Plateau;Langtang South;MAGAMA;3733.549812;3516;292;704;67.7;181;192;360;250;none;mini-grid;intercon;39490
38185;9.69171527332906;8.44788271120059;Nigeria;Plateau;Shendam;MOEKAT;11856.69551;3518;292;2237;69.8;530;618;1328;823;mini-grid;mini-grid;intercon;35730
38187;9.67339695410842;8.47181079306085;Nigeria;Plateau;Shendam;KURUNGBAU (B);4245.997825;3520;292;801;49.9;318;248;552;422;mini-grid;mini-grid;intercon;32250
38189;9.72900690664214;8.48752333428769;Nigeria;Plateau;Langtang South;MAGAMA;10623.4415;3522;292;2004;69.8;503;560;1208;697;mini-grid;mini-grid;intercon;30050
38191;9.20612197581717;8.49003794957139;Nigeria;Plateau;'Qua''an Pan';KWANDE;1086.840292;3524;0;205;68.2;51;54;112;70;none;none;mini-grid;62650
38194;9.61239538965229;8.50015864343169;Nigeria;Plateau;Shendam;MOEKAT;1537.68619;3527;292;290;70.4;68;80;168;110;none;none;grid;32420
38195;9.46450122686659;8.5089070240568;Nigeria;Plateau;Shendam;WUSE;2196.205771;3528;292;414;74.5;101;118;272;141;none;none;grid;54120
38198;9.65996381056059;8.5243259195117;Nigeria;Plateau;Shendam;KURUNGBAU (B);1027.711675;3531;292;194;68;81;98;216;98;none;none;grid;26290
38199;9.36994103563858;8.52674270591361;Nigeria;Plateau;Shendam;KWANDE;1903.378335;3532;253;359;72;90;102;216;133;none;none;grid;51020
38200;9.95175751212666;8.52638762018164;Nigeria;Plateau;Langtang South;TIMBOL;2055.42335;3533;189;388;68.6;95;100;216;137;none;none;grid;35290
38201;9.81884319970166;8.53218118867104;Nigeria;Plateau;Langtang South;TIMBOL;4240.366528;3534;188;800;75.4;214;232;560;307;mini-grid;mini-grid;intercon;25530
38203;9.00380496899717;8.53667858254013;Nigeria;Plateau;'Qua''an Pan';NAMU;1126.25937;3536;253;213;69.9;87;176;328;110;mini-grid;mini-grid;intercon;56560
38204;9.61484210979388;8.53680457595978;Nigeria;Plateau;Shendam;MOEKAT;1534.528391;3537;292;290;72.9;74;82;192;108;none;none;grid;30910
38205;9.70555444023887;8.53981556853421;Nigeria;Plateau;Langtang South;MAGAMA;2852.251854;3538;292;538;68;126;136;312;190;none;mini-grid;intercon;22410
38206;9.68409342069827;8.54524292980301;Nigeria;Plateau;Langtang South;MAGAMA;4251.629122;3539;292;802;72.4;193;220;512;275;none;mini-grid;intercon;22740
38208;9.13642800971549;8.55083902646102;Nigeria;Plateau;'Qua''an Pan';NAMU;3426.644133;3541;253;647;74.2;162;204;528;230;mini-grid;mini-grid;intercon;52880
38209;9.77317409653712;8.55274633143538;Nigeria;Plateau;Langtang South;TIMBOL;1106.549831;3542;188;209;72.3;51;60;136;72;none;none;grid;24150
38210;9.64628036147073;8.56397065614855;Nigeria;Plateau;Shendam;KURUNGBAU (B);1489.478017;3543;292;281;64.1;90;96;192;120;none;none;grid;28240
38212;9.56042188282031;8.57668782628543;Nigeria;Plateau;Shendam;SHIMANKAR;4251.629122;3545;288;802;66.7;240;288;688;327;mini-grid;mini-grid;intercon;36110
38213;9.70525597738872;8.57160796151684;Nigeria;Plateau;Langtang South;TURAKI;1435.980696;3546;292;271;68.2;71;68;152;104;none;none;grid;18770
38215;9.85075563666921;8.57961294319776;Nigeria;Plateau;Langtang South;GAMAKAI;2767.782402;3548;188;522;71.8;135;142;344;186;mini-grid;mini-grid;intercon;21490
38216;9.26743453583668;8.5831371812971;Nigeria;Plateau;'Qua''an Pan';KWANDE;1514.818852;3549;253;286;70.4;73;82;168;99;none;none;grid;41880
38217;9.6290210981744;8.58456324618595;Nigeria;Plateau;Shendam;KURUNGBAU (B);3018.375111;3550;292;570;69.4;138;154;328;208;none;mini-grid;intercon;31410
38218;9.40693794436813;8.59481291751294;Nigeria;Plateau;Shendam;KWANDE;2173.680584;3551;253;410;67.4;133;182;368;179;mini-grid;mini-grid;intercon;42250
38220;9.54119899379101;8.59910618037275;Nigeria;Plateau;Shendam;SHIMANKAR;2860.6988;3553;288;540;69.2;130;148;296;196;none;mini-grid;intercon;32810
38221;9.70633800789377;8.60667964806652;Nigeria;Plateau;Langtang South;TURAKI;3291.493009;3554;292;621;66.6;160;154;328;217;none;mini-grid;intercon;14770
38222;9.98247575364375;8.62623050545377;Nigeria;Plateau;Langtang South;FAJUL;8691.906689;3555;189;1640;70.9;414;524;1096;648;mini-grid;mini-grid;intercon;28060
38223;9.52436512176069;8.62334906836055;Nigeria;Plateau;Shendam;SHIMANKAR;9243.77378;3556;288;1744;68.6;534;654;1408;730;mini-grid;mini-grid;intercon;29680
38224;9.29246437359161;8.61624054673182;Nigeria;Plateau;'Qua''an Pan';KWANDE;10933.16283;3557;253;2063;67.6;775;1018;2352;1054;mini-grid;mini-grid;intercon;37060
38225;9.72849701346841;8.61994876342878;Nigeria;Plateau;Langtang South;TURAKI;2393.301161;3558;292;452;65.8;112;142;280;164;none;mini-grid;intercon;14930
38228;9.7165549337115;8.63534020338586;Nigeria;Plateau;Langtang South;TURAKI;3043.715947;3561;292;574;72.8;148;196;424;213;mini-grid;mini-grid;intercon;12450
38229;9.80202176547109;8.64668205102433;Nigeria;Plateau;Langtang South;GAMAKAI;2869.145745;3562;188;541;78.8;134;168;408;191;none;mini-grid;intercon;12700
38230;8.98150269127659;8.64563659158249;Nigeria;Plateau;'Qua''an Pan';NAMU;1638.707383;3563;253;309;68.1;88;88;184;115;none;mini-grid;intercon;51930
38231;9.75885439306422;8.66190009296479;Nigeria;Plateau;Langtang South;MABUDI;2027.266866;3564;292;383;69.8;91;112;216;138;none;none;grid;9560
38232;9.51607398203326;8.6711121311895;Nigeria;Plateau;Shendam;SHIMANKAR;5758.001029;3565;288;1086;70.1;272;298;624;372;mini-grid;mini-grid;intercon;24360
38233;9.84386686721526;8.66681050226037;Nigeria;Plateau;Langtang South;GAMAKAI;6090.247544;3566;188;1149;73.3;279;306;784;396;mini-grid;mini-grid;intercon;8760
38235;9.67687980838547;8.6648271352174;Nigeria;Plateau;Langtang South;SABON GIDA;2106.105022;3568;292;397;71;104;110;240;143;none;none;grid;12150
38236;9.93980877473473;8.6664219891099;Nigeria;Plateau;Wase;DADIN KOWA;3378.77811;3569;189;638;76.6;154;174;496;222;none;mini-grid;intercon;24380
38237;9.65777560056259;8.67703572641642;Nigeria;Plateau;Langtang South;KURUNGBAU (B);3671.605546;3570;292;693;66.8;215;238;528;295;mini-grid;mini-grid;intercon;15000
38238;9.09330459446696;8.68763501549464;Nigeria;Plateau;'Qua''an Pan';NAMU;10792.38041;3571;253;2036;67.3;632;772;1608;843;mini-grid;mini-grid;intercon;36230
38239;9.47242126077809;8.6839519079998;Nigeria;Plateau;Shendam;KALONG;5231.474774;3572;288;987;70.2;247;298;624;347;mini-grid;mini-grid;intercon;25980
38240;9.91648456783888;8.68457417758001;Nigeria;Plateau;Langtang South;DADIN KOWA;2331.356896;3573;189;440;68.8;105;120;240;151;none;none;grid;21040
38241;9.4446948391919;8.69109247868721;Nigeria;Plateau;Shendam;KALONG;3657.527304;3574;288;690;65.5;222;260;544;294;mini-grid;mini-grid;intercon;29530
38242;9.38027759482654;8.68998329909038;Nigeria;Plateau;Shendam;KWANDE;1137.521963;3575;253;215;66.8;78;114;208;103;none;mini-grid;intercon;29170
38243;9.75972534853659;8.69519558908453;Nigeria;Plateau;Langtang South;MABUDI;2886.039635;3576;292;545;51.2;135;110;248;204;none;mini-grid;intercon;6260
38245;9.93736022432645;8.7083215365292;Nigeria;Plateau;Wase;DADIN KOWA;2359.51338;3578;189;445;64.8;105;108;224;159;none;none;grid;19870
38246;9.51227633202161;8.71395851798858;Nigeria;Plateau;Shendam;SHIMANKAR;3930.645201;3579;288;742;59.2;295;300;656;370;mini-grid;mini-grid;intercon;19130
38247;9.2976503449505;8.71385257171127;Nigeria;Plateau;'Qua''an Pan';KWANDE;4820.390104;3580;253;910;65.3;281;358;672;380;mini-grid;mini-grid;intercon;26000
38248;9.2296721851389;8.71733857887012;Nigeria;Plateau;'Qua''an Pan';KWANDE;3930.645201;3581;253;742;71.7;190;260;608;295;mini-grid;mini-grid;intercon;28930
38249;9.49182450674677;8.71855588456929;Nigeria;Plateau;Shendam;KALONG;1810.461937;3582;288;342;60.5;107;104;216;140;none;none;grid;20440
38250;9.90108587482338;8.72530098585998;Nigeria;Plateau;Langtang South;DADIN KOWA;4468.434051;3583;189;843;74.3;197;238;560;311;none;mini-grid;intercon;15320
38252;9.88176205588324;8.75503267825827;Nigeria;Plateau;Langtang South;DADIN KOWA;12749.25606;3585;189;2406;76.2;595;654;1896;918;mini-grid;mini-grid;intercon;11490
38253;9.33215514649993;8.74574042956921;Nigeria;Plateau;'Qua''an Pan';KWANDE;1661.23257;3586;253;313;65;84;100;224;128;mini-grid;mini-grid;intercon;23990
38254;9.98927052235749;8.75233314174801;Nigeria;Plateau;Wase;KUMBUR;2604.474793;3587;189;491;75.9;122;138;360;182;none;mini-grid;intercon;28460
38255;9.84284571815251;8.75313787512239;Nigeria;Plateau;Langtang South;MABUDI;6872.997806;3588;189;1297;73.2;347;364;848;449;mini-grid;mini-grid;intercon;7190
38256;9.6192328545403;8.76070479529492;Nigeria;Plateau;Shendam;KURUNGBAU (A);2151.155396;3589;288;406;69.4;98;106;232;148;none;none;grid;7910
38257;9.29497196538024;8.77817628326169;Nigeria;Plateau;'Qua''an Pan';KURGWI;14430.19817;3590;253;2723;62.3;1080;1286;2592;1373;mini-grid;mini-grid;intercon;18600
38258;9.83564631079264;8.76866711902253;Nigeria;Plateau;Langtang South;TALGWANG;3291.493009;3591;189;621;67;147;166;328;221;none;mini-grid;intercon;8400
38259;9.57032899661871;8.77033796252434;Nigeria;Plateau;Shendam;KALONG;2460.876723;3592;288;464;67.9;143;176;352;203;mini-grid;mini-grid;intercon;11770
38260;9.68266242003061;8.76893802191677;Nigeria;Plateau;Shendam;YELWA;1914.640929;3593;306;361;73.4;86;106;224;130;none;grid;grid;1660
38261;9.79443320820906;8.77019313412535;Nigeria;Plateau;Langtang South;TALGWANG;4975.250767;3594;189;939;69.7;232;260;544;327;none;none;grid;4200
38264;9.14649320246228;8.7913266853868;Nigeria;Plateau;'Qua''an Pan';NAMU;1759.780265;3597;253;332;69.1;107;130;272;148;mini-grid;mini-grid;intercon;22970
38265;9.84681931561427;8.7898906921318;Nigeria;Plateau;Langtang North;TALGWANG;1067.481361;3598;189;201;69.2;50;54;112;73;none;none;grid;14630
38266;9.35789799108433;8.79015009461134;Nigeria;Plateau;Shendam;POESHIP;2044.160756;3599;253;386;74;99;154;304;154;none;mini-grid;intercon;15870
38268;9.80718195560194;8.80045223907656;Nigeria;Plateau;Langtang North;TALGWANG;2280.675224;3601;189;430;69.5;105;124;248;147;none;none;grid;8220
38269;9.98879577569016;8.79563296704319;Nigeria;Plateau;Wase;KUMBUR;1267.041791;3602;189;239;77.2;57;74;168;83;none;none;grid;24640
38271;9.44920906631596;8.81443368581521;Nigeria;Plateau;Shendam;POESHIP;6650.56158;3604;253;1255;68.2;373;440;1000;525;none;none;grid;4560
38272;9.48355894512503;8.81917165513446;Nigeria;Plateau;Shendam;POESHIP;1889.300093;3605;253;356;69.5;90;92;208;125;none;none;grid;4860
38273;9.3996511181588;8.81750594522394;Nigeria;Plateau;Shendam;POESHIP;1089.65594;3606;253;206;71.6;71;110;232;93;none;mini-grid;intercon;10240
38274;9.85766014114858;8.83230013365597;Nigeria;Plateau;Langtang North;LASHEL;1650.905116;3607;189;311;69.2;71;84;176;105;none;none;grid;13340
38283;9.76534523994172;8.86875188643842;Nigeria;Plateau;Shendam;DERTENG;1520.450149;3616;184;287;70.8;78;84;160;105;none;none;grid;4600
38284;9.30056926481219;8.87821474755259;Nigeria;Plateau;'Qua''an Pan';KWALLA MOEDA;2767.782402;3617;279;522;59.3;198;208;456;247;none;grid;grid;7590
38285;9.8311943243826;8.88170651893548;Nigeria;Plateau;Langtang North;NYER;1085.490336;3618;197;205;69.3;66;70;168;87;none;none;grid;6470
38290;10.0249199070862;8.90124565687416;Nigeria;Plateau;Wase;KADARKO;5732.660194;3623;189;1082;70.2;246;302;632;408;mini-grid;mini-grid;intercon;30240
38291;9.5626566413507;8.90869467293835;Nigeria;Plateau;Shendam;SHENDAM CENTRAL (A);3032.453354;3624;299;572;67.5;152;132;344;204;none;mini-grid;intercon;5250
38295;9.46437349387566;8.93728468743374;Nigeria;Plateau;Shendam;PANGSHOM;1569.716577;3628;283;296;71.5;97;150;304;132;none;mini-grid;intercon;12590
38296;9.16748363589207;8.93804632233723;Nigeria;Plateau;'Qua''an Pan';BWALL;3513.929234;3629;261;663;70.6;178;188;392;240;none;mini-grid;intercon;9630
38297;9.22197042102697;8.95038674555311;Nigeria;Plateau;'Qua''an Pan';DOEMAK-KOPLONG;8520.152135;3630;261;1608;71.2;436;420;992;559;none;none;grid;3440
38298;9.5737838394401;8.94428803268119;Nigeria;Plateau;Mikang;BALTEP;2804.385831;3631;299;529;86.2;131;208;576;197;mini-grid;mini-grid;intercon;8180
38301;9.39723700364085;8.95264160246168;Nigeria;Plateau;Shendam;PANGSHOM;1175.263268;3634;283;222;71.7;55;60;136;83;none;none;grid;8640
38302;10.2608369323327;8.95556897519498;Nigeria;Plateau;Wase;KADARKO;1114.996776;3635;0;210;69.1;52;62;128;76;none;mini-grid;mini-grid;45750
38306;10.0114365643652;8.96951979658022;Nigeria;Plateau;Wase;KADARKO;1703.467297;3639;189;321;69.1;79;88;176;115;none;none;grid;22370
38307;9.42048802330789;8.97455336916634;Nigeria;Plateau;Mikang;PANGSHOM;2810.017128;3640;283;530;70.9;137;162;336;195;mini-grid;mini-grid;intercon;13530
38310;9.5994477333039;9.00443813153185;Nigeria;Plateau;Mikang;BALTEP;12675.19344;3643;299;2392;64.7;761;772;1992;1043;mini-grid;mini-grid;intercon;16490
38313;9.88835284809021;9.01248085215134;Nigeria;Plateau;Wase;KUMBUR;3097.213267;3646;210;584;68.8;151;192;376;209;none;grid;grid;4070
38314;9.48733138320448;9.01727248482298;Nigeria;Plateau;Mikang;PIAPUNG \B\;5560.90564;3647;283;1049;70.4;273;404;792;384;mini-grid;mini-grid;intercon;21930
38316;9.26517570360883;9.02198286167126;Nigeria;Plateau;'Qua''an Pan';KWA;5493.330077;3649;274;1036;63.2;399;516;1000;506;mini-grid;intercon;intercon;8130
38318;9.90948424518334;9.04185722714812;Nigeria;Plateau;Wase;KUMBUR;9060.756632;3651;210;1710;66.5;415;472;920;643;mini-grid;intercon;intercon;7970
38322;9.88895458404259;9.05375074086519;Nigeria;Plateau;Langtang North;LIPCHOK;1286.582775;3655;209;243;68.7;65;64;144;84;none;none;grid;7400
38323;9.49549215332239;9.06330833019982;Nigeria;Plateau;Mikang;PIAPUNG \A\;5375.072843;3656;283;1014;70.9;273;354;704;396;mini-grid;mini-grid;intercon;27360
38326;9.93219533176516;9.06674259459897;Nigeria;Plateau;Langtang North;KUMBUR;3285.861712;3659;210;620;62.4;192;188;432;279;mini-grid;intercon;intercon;10070
38327;9.36235567922409;9.07398607217202;Nigeria;Plateau;Mikang;POESHIP;5163.899212;3660;283;974;69;237;250;552;409;mini-grid;mini-grid;intercon;5110
38330;9.68251360957236;9.07058823902091;Nigeria;Plateau;Mikang;LALIN;4392.411543;3663;305;829;66.2;252;330;648;369;mini-grid;mini-grid;intercon;13540
38331;10.0589287537924;9.07612827773778;Nigeria;Plateau;Wase;MAVO;7864.106051;3664;210;1484;71.7;360;446;968;535;mini-grid;intercon;intercon;17960
38334;9.86957857560882;9.10073331904917;Nigeria;Plateau;Langtang North;KUMBUR;1393.528032;3667;204;263;64.7;102;126;264;124;none;none;grid;4670
38337;8.84287300785773;9.10482582389284;Nigeria;Plateau;Bokkos;TOFF;1393.553995;3670;0;263;73.5;65;72;176;90;none;none;mini-grid;38350
38338;9.67476532146999;9.10626761063127;Nigeria;Plateau;Mikang;LALIN;1282.184728;3671;305;242;68.1;56;62;136;83;none;none;grid;16590
38342;9.71339975731597;9.12692942839566;Nigeria;Plateau;Langtang North;FUNYALANG;2252.51874;3675;305;425;68.7;110;110;248;155;none;none;grid;11210
38344;9.49440864915909;9.12937434158289;Nigeria;Plateau;Pankshin;TAL;4502.221832;3677;293;849;65.1;266;316;624;373;mini-grid;mini-grid;intercon;19010
38350;9.05042961021235;9.15959912380236;Nigeria;Plateau;Bokkos;MUSHERE CENTRAL;1374.036431;3683;227;259;64.3;80;82;184;105;none;mini-grid;intercon;19200
38353;9.83094974582787;9.17197694043123;Nigeria;Plateau;Langtang North;KWANDE;1559.869227;3686;194;294;62.8;91;98;200;116;none;none;grid;3790
38360;9.41352599471939;9.20001884916142;Nigeria;Plateau;Pankshin;PANKSHIN  SOUTH (BELNING);1773.858507;3693;281;335;69.8;102;112;304;139;none;mini-grid;intercon;15770
38362;8.840332374585;9.22130965324241;Nigeria;Plateau;Bokkos;DAFFO;1439.287833;3695;230;272;67.7;85;100;208;112;none;mini-grid;intercon;19530
38366;9.91195590953257;9.23109228010517;Nigeria;Plateau;Kanam;NAMARAN;3497.035344;3699;212;660;68.5;170;172;376;224;none;mini-grid;intercon;11780
38367;9.0373552178349;9.23177577622229;Nigeria;Plateau;Bokkos;TANGUR;2393.301161;3700;227;452;64.5;134;146;320;184;none;mini-grid;intercon;8710
38368;9.84567703530281;9.23312764109174;Nigeria;Plateau;Langtang North;REAK;1041.789917;3701;199;197;69.8;62;62;184;85;none;grid;grid;3280
38370;10.5754432232194;9.23851320824878;Nigeria;Plateau;Wase;YOLA WAKAT;1785.121101;3703;0;337;63;128;158;320;173;mini-grid;mini-grid;mini-grid;73120
38371;10.1792542412443;9.2552437863206;Nigeria;Plateau;Wase;BASHAR;2156.786693;3704;218;407;65.6;142;174;336;183;mini-grid;mini-grid;intercon;31560
38372;10.4775487748767;9.24213459043694;Nigeria;Plateau;Wase;NYALUM/KAMPANI;2348.250786;3705;0;443;70.2;103;108;272;156;mini-grid;mini-grid;mini-grid;62050
38376;9.81472526298533;9.2677396563078;Nigeria;Plateau;Langtang North;JAT;1520.450149;3709;191;287;70.8;73;80;168;98;none;none;grid;3300
38377;8.79026847529893;9.27438275603739;Nigeria;Plateau;Bokkos;MANGUNA;1677.47013;3710;230;317;66.3;102;106;232;136;none;mini-grid;intercon;25560
38379;9.88791096079036;9.27658832983913;Nigeria;Plateau;Kanam;NAMARAN;898.1918476;3712;212;169;74.7;63;98;224;81;mini-grid;mini-grid;intercon;9130
38381;9.55399808487173;9.28004934900367;Nigeria;Plateau;Kanke;LANGSHI;3485.77275;3714;293;658;67.5;203;264;536;290;mini-grid;mini-grid;intercon;7840
38384;9.96903056027371;9.2856200079669;Nigeria;Plateau;Kanam;KUNKYAM;1320.539111;3717;217;249;75.4;75;84;288;108;none;mini-grid;intercon;9600
38385;10.2162339593891;9.2942024306765;Nigeria;Plateau;Wase;BASHAR;1627.444789;3718;218;307;72.3;102;132;368;142;none;mini-grid;intercon;30810
38390;9.32705184743453;9.31364151068098;Nigeria;Plateau;Pankshin;LANKANG;2206.889258;3723;276;416;62.9;178;216;440;210;mini-grid;mini-grid;intercon;9410
38391;10.1573956714501;9.31374915410444;Nigeria;Plateau;Wase;BASHAR;2939.536956;3724;218;555;66.4;184;220;480;237;mini-grid;mini-grid;intercon;23460
38392;9.49020144379556;9.31574673188099;Nigeria;Plateau;Kanke;WOKKOS;5527.117858;3725;289;1043;79.7;256;278;1080;368;mini-grid;mini-grid;intercon;5860
38395;8.91865841152534;9.3447793129002;Nigeria;Plateau;Bokkos;BUTURA;5949.457549;3728;245;1123;67.1;372;390;896;480;mini-grid;intercon;intercon;6960
38397;10.0820156994885;9.36841323022878;Nigeria;Plateau;Kanam;JARMAI;7438.943139;3730;218;1404;67.8;446;510;1040;584;mini-grid;mini-grid;intercon;13500
38398;10.0290947225928;9.35009030237912;Nigeria;Plateau;Kanam;DENGI;1714.729891;3731;218;324;69.8;88;122;240;128;none;mini-grid;intercon;10220
38402;10.2422403185044;9.3609263324575;Nigeria;Plateau;Wase;NYALUM/KAMPANI;2393.301161;3735;218;452;76.6;107;124;336;192;none;none;grid;35680
38403;10.0410216592616;9.37574584659378;Nigeria;Plateau;Kanam;DENGI;1267.041791;3736;218;239;62.8;71;74;160;97;none;none;grid;8650
38406;10.173277548415;9.38269310493304;Nigeria;Plateau;Wase;BASHAR;4065.796326;3739;218;767;62.6;245;266;576;312;mini-grid;mini-grid;intercon;24790
38407;9.75897558445841;9.39667459002454;Nigeria;Plateau;Kanke;AMPER CHIKA \B\;1206.187624;3740;185;228;77.4;73;80;240;94;none;none;grid;10680
38408;10.2709486941437;9.39711942718057;Nigeria;Plateau;Wase;GUDUS;2787.491941;3741;218;526;61.5;163;208;344;227;mini-grid;mini-grid;intercon;35980
38412;9.29507660858233;9.405872999943;Nigeria;Plateau;Mangu;PUSHIT;1147.336278;3745;277;216;68;67;76;160;90;none;none;grid;2420
